Course,Course Title,Units,Sec,Mini,Days,Begin,End,Teaching Location,BDLG/Room,Instructor,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives,Instructor provides feedback,Importance of subject,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
94050,Study Abroad,1-60,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94700,Organizational Design & Implementation,6,K3,Y,TR,04:30PM,05:50PM,"Adelaide, Australia",TOR CLASS3,"O'Loughlin, Timothy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94706,Healthcare Information Systems,12,A,,MW,10:30AM,11:50AM,"Pittsburgh, Pennsylvania",HBH 1005,"Padman, Rema",11.070666666666666,4.541333333333333,3.7873333333333337,4.120666666666668,3.652,4.672666666666667,4.212666666666666,4.8726666666666665,4.027333333333334,4.022666666666667
94706,Healthcare Information Systems,12,A,,F,03:00PM,04:20PM,"Pittsburgh, Pennsylvania",HBH 1005,"Padman, Rema",11.070666666666666,4.541333333333333,3.7873333333333337,4.120666666666668,3.652,4.672666666666667,4.212666666666666,4.8726666666666665,4.027333333333334,4.022666666666667
94718,Strategic Presentation Skills,6,K3,Y,M,04:30PM,07:20PM,"Adelaide, Australia",TOR CLASS3,"Bodycoat, Marilyn",8.70032258064516,4.734193548387096,4.732258064516129,4.716451612903226,4.889354838709676,4.763548387096774,4.63548387096774,4.687096774193548,4.651290322580644,4.6816129032258065
94728,Business Intelligence & Analytics,6,K4,Y,F,09:00AM,11:50AM,"Adelaide, Australia",TOR CLASS1,"Viswanathan, Murlikrishna",10.317499999999997,4.210833333333334,3.9583333333333335,3.8816666666666664,3.8491666666666675,4.219166666666668,3.9891666666666663,4.573333333333332,3.9774999999999996,3.8191666666666673
94739,Capstone Project,VAR,A,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94739,Capstone Project,VAR,B,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94739,Capstone Project,VAR,C,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,TBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94739,Capstone Project,VAR,D,,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,TBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94774,Business Process Modeling,6,A4,Y,TR,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 2008,"Moore, Karyn",10.33736842105263,4.48,4.554210526315789,4.591578947368421,4.217368421052631,4.419473684210526,4.511052631578946,4.792105263157895,4.406842105263159,4.213684210526315
94774,Business Process Modeling,6,Z3,Y,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",TBA,"Moore, Karyn",10.33736842105263,4.48,4.554210526315789,4.591578947368421,4.217368421052631,4.419473684210526,4.511052631578946,4.792105263157895,4.406842105263159,4.213684210526315
94775,Unstructured Data Analytics for Policy,6,A3,Y,TR,01:30PM,02:50PM,"Pittsburgh, Pennsylvania",HBH 1206,"Chen, George",16.239166666666673,4.168333333333334,3.9441666666666664,3.9525,3.848333333333334,4.245833333333333,4.104166666666667,4.281666666666666,3.828333333333333,3.7883333333333336
94775,Unstructured Data Analytics for Policy,6,A3,Y,F,04:30PM,05:50PM,"Pittsburgh, Pennsylvania",HBH 1206,"Chen, George",16.239166666666673,4.168333333333334,3.9441666666666664,3.9525,3.848333333333334,4.245833333333333,4.104166666666667,4.281666666666666,3.828333333333333,3.7883333333333336
94800,Negotiation,6,A3,Y,T,06:00PM,08:50PM,"Pittsburgh, Pennsylvania",HBH 1006,"Simmer, Jared",6.69076923076923,4.42,4.218846153846154,4.385384615384615,3.7630769230769223,4.606538461538461,4.241923076923076,4.239615384615385,4.199999999999999,4.2130769230769225
